accession	runtype	species	genome_size
ERX3836665	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256908	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11548775	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX18169418	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10949352	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014464	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10694864	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2373974	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156024	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9823599	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242888	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843356	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX11354439	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725503	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6902061	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2935355	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1791879	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163196	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155968	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9999193	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242511	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161911	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156938	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161774	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447582	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4312411	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297667	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162066	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6607492	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9895113	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5171011	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459275	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157185	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157193	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843318	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10157192	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743740	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4014503	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725356	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10949325	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10692492	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242048	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743921	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836697	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242890	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX23602161	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7708660	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX17566855	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297668	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157188	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2243163	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354445	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6901933	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155897	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662687	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459221	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256932	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1097031	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242065	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161762	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843806	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10696007	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242393	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156953	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4312410	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962296	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX9190996	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899913	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX8035317	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297660	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598013	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2243269	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836666	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
