accession	reason
ERX1120075	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119991	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119995	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120077	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119997	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120078	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119999	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120079	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120006	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120085	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120007	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120094	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120096	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120009	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120097	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120010	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120098	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120014	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120099	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120015	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120102	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120021	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120022	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120103	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120026	Failed mean read length (184 bp) filter, expected > 249 bp
ERX1120105	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120029	Failed mean read length (188 bp) filter, expected > 249 bp
ERX1120112	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120031	Failed mean read length (190 bp) filter, expected > 249 bp
ERX1120113	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120037	Failed mean read length (173 bp) filter, expected > 249 bp
ERX1120120	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120042	Failed mean read length (176 bp) filter, expected > 249 bp
ERX1120121	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120044	Failed mean read length (167 bp) filter, expected > 249 bp
ERX1120125	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120048	Failed mean read length (171 bp) filter, expected > 249 bp
ERX1120127	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120053	Failed mean read length (163 bp) filter, expected > 249 bp
ERX1120130	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120055	Failed mean read length (175 bp) filter, expected > 249 bp
ERX1120132	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120061	Failed mean read length (183 bp) filter, expected > 249 bp
ERX1120134	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120062	Failed mean read length (177 bp) filter, expected > 249 bp
ERX1120136	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120137	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120067	Failed mean read length (157 bp) filter, expected > 249 bp
ERX1120139	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120072	Failed mean read length (161 bp) filter, expected > 249 bp
ERX1120140	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120080	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120142	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120081	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120143	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120083	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120150	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120084	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120151	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120087	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120155	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120088	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120156	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120095	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120159	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120104	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120161	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120106	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120163	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120108	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120168	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120109	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120169	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120117	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120171	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120124	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120178	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120126	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120182	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120135	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120186	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120138	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120187	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120141	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120189	Failed mean read length (175 bp) filter, expected > 249 bp
ERX1120145	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1120194	Failed mean read length (174 bp) filter, expected > 249 bp
ERX1120147	Failed mean read length (100 bp) filter, expected > 249 bp
